grupo,muestra,poblacion_edad_trabajar,fuerza_trabajo,personas_ocupadas,personas_desocupadas,iniciadores_disponibles,ocupados_tiempo_parcial_involuntario,ocupados_buscan_empleo,fuerza_trabajo_potencial,fuerza_trabajo_ampliada,ocupados_informales,ocupados_sector_informal,tasa_desocupacion,tasa_ocupacion,tasa_participacion,tasa_presion_laboral,su1,su2,su3,su4,tasa_ocupacion_informal,tasa_ocupacion_sector_informal
Antofagasta,14213,580094,382303,356303,26000,1330,11207,22175,32585,416218,67458,39188,6.8,61.42,65.9,12.9,7.12,10.05,14.4,17.09,18.93,11.0
Arica y Parinacota,11305,212800,126343,117765,8578,289,2313,3194,9355,135987,37885,23296,6.79,55.34,59.37,9.52,7.0,8.83,13.4,15.1,32.17,19.78
Atacama,13534,254395,167503,152074,15429,987,12831,17684,20105,188595,44080,25284,9.21,59.78,65.84,20.24,9.74,17.36,19.36,26.17,28.99,16.63
Aysén,8704,87458,62279,59677,2602,299,5041,3969,4364,66942,17688,11162,4.18,68.24,71.21,10.98,4.63,12.69,10.85,18.38,29.64,18.7
Biobío,44703,1390604,789458,715308,74150,2775,39629,50108,101797,894030,185227,98920,9.39,51.44,56.77,16.03,9.71,14.71,19.99,24.42,25.89,13.83
Coquimbo,22811,719959,424984,389978,35006,849,27924,31510,48883,474716,115480,65559,8.24,54.17,59.03,15.82,8.42,14.98,17.85,23.73,29.61,16.81
La Araucanía,20806,841951,483815,441361,42453,1134,46996,42987,76241,561190,157494,103013,8.77,52.42,57.46,17.85,8.99,18.68,21.35,29.73,35.68,23.34
Los Lagos,24994,754128,427922,402710,25212,2428,12130,13049,47093,477443,106511,67465,5.89,53.4,56.74,9.45,6.42,9.24,15.65,18.19,26.45,16.75
Los Ríos,16575,341737,202679,186359,16321,459,21284,21176,29072,232210,59870,32586,8.05,54.53,59.31,18.68,8.26,18.74,19.75,28.91,32.13,17.49
Magallanes,8576,153529,104597,98394,6204,628,4347,8079,9612,114837,19746,10262,5.93,64.09,68.13,14.17,6.49,10.62,14.32,18.1,20.07,10.43
Maule,28212,963717,560281,518644,41637,3382,37828,32740,84411,648074,165982,88586,7.43,53.82,58.14,13.8,7.99,14.7,19.97,25.81,32.0,17.08
Metropolitana,77643,6948607,4579117,4163090,416027,11472,221311,305950,269578,4860167,951771,551885,9.09,59.91,65.9,15.98,9.31,14.13,14.34,18.9,22.86,13.26
O'Higgins,22942,844658,500087,458804,41282,3501,31090,28998,63872,567460,131556,66689,8.26,54.32,59.21,14.65,8.89,15.07,19.15,24.63,28.67,14.54
Tarapacá,9232,321698,207487,188579,18908,1375,10219,15189,18324,227186,56510,38551,9.11,58.62,64.5,16.98,9.71,14.6,16.99,21.49,29.97,20.44
Valparaíso,48495,1688569,1003735,918821,84914,2038,70360,79159,113844,1119617,269601,144025,8.46,54.41,59.44,16.52,8.65,15.64,17.93,24.22,29.34,15.68
Ñuble,18158,433262,247526,223617,23909,539,21737,24782,36160,284225,72518,38107,9.66,51.61,57.13,19.85,9.86,18.62,21.32,28.97,32.43,17.04
